Sr no,married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
158,FALSE,white,approve,1,48,27,1,1,FALSE,2250,60,83,2,1,FALSE,1,female
159,TRUE,white,approve,1,49,45,1,0,FALSE,3200,49,18.25,1,2,FALSE,2,male
160,TRUE,white,approve,1,138,60,1,2,TRUE,5250,173,6,1,1,FALSE,2,male
161,TRUE,white,approve,1,140,67,1,2,FALSE,4363,85,61.5,1,1,FALSE,2,male
162,FALSE,white,approve,1,112,51,1,0,FALSE,4230,140,52,2,1,FALSE,2,female
163,FALSE,white,approve,1,70,25,1,0,FALSE,2067,140,92.6,2,1,FALSE,2,female
164,TRUE,black,approve,1,86,36,1,1,FALSE,3168,107,12,2,4,FALSE,1,female
165,TRUE,hispan,approve,1,53,48,1,0,FALSE,2505,71,29.16,2,1,FALSE,1,male
166,TRUE,white,approve,1,140,75,1,0,FALSE,4107,214,133,1,1,FALSE,1,male
167,TRUE,white,approve,1,275,135,1,0,FALSE,7500,306,48,2,1,FALSE,2,male
168,TRUE,white,approve,1,300,115,1,3,FALSE,8600,575,81,1,1,FALSE,2,male
169,TRUE,white,approve,1,140,77,1,1,FALSE,3782,140,32,1,1,FALSE,2,female
170,TRUE,white,approve,1,112,49,1,2,FALSE,3729,117.5,17,2,6,TRUE,2,male
171,TRUE,black,approve,1,137,122,1,0,FALSE,4980,153,49,2,6,FALSE,1,male
172,TRUE,black,reject,1,57,56,1,0,FALSE,3772,85,1.5,3,6,FALSE,2,male
173,TRUE,white,approve,1,230,128,1,4,FALSE,9233,290,111.2,1,1,FALSE,2,male
174,FALSE,white,approve,1,125,64,2,0,FALSE,2942,225,449,2,1,FALSE,3,male
175,FALSE,white,approve,1,75,33,1,0,FALSE,2478,210,58.49,1,2,FALSE,2,female
176,TRUE,white,approve,1,187,157,1,0,FALSE,6500,290,52,1,2,FALSE,2,male
177,TRUE,white,approve,1,134,55,1,2,FALSE,4616,149,18.9,2,6,FALSE,2,male
178,TRUE,white,approve,1,83,60,1,0,FALSE,3879,128,10,2,2,FALSE,2,male
179,FALSE,white,approve,1,26,60,1,0,FALSE,2600,29,7,2,2,FALSE,1,female
180,TRUE,white,approve,1,248,117,1,1,FALSE,6812,280,74,2,5,FALSE,2,male
181,TRUE,white,approve,1,192,85,1,2,FALSE,6250,240,163.7,1,5,FALSE,2,male
182,FALSE,black,approve,1,108,51,1,0,FALSE,3926,120,28.1,2,1,FALSE,2,male
183,FALSE,white,approve,1,152,59,1,0,FALSE,3268,165,25,2,6,FALSE,2,male
184,TRUE,white,reject,1,286,138,1,1,TRUE,11500,357,164,1,2,FALSE,1,female
185,TRUE,white,approve,1,158,62,1,0,FALSE,2783,175,47,1,1,FALSE,2,male
186,FALSE,white,approve,1,55,48,1,1,FALSE,3226,250,270,2,1,FALSE,2,male
187,TRUE,white,approve,1,140,52,1,0,FALSE,2708,176,37,2,2,FALSE,2,male
188,TRUE,white,approve,1,101,52,1,0,FALSE,2740,126.5,28.1,1,3,FALSE,2,male
189,FALSE,white,approve,1,152,126,4,0,FALSE,10500,199,51,1,6,FALSE,3,male
190,TRUE,white,approve,1,124,49,1,0,FALSE,1987,134.9,13.28,2,2,FALSE,2,male
191,TRUE,white,approve,1,187,132,1,2,FALSE,10166,250,91,2,6,FALSE,2,male
192,TRUE,white,approve,1,97,43,1,2,FALSE,2708,135,49,2,1,FALSE,2,male
193,TRUE,white,approve,1,96,45,1,0,FALSE,2132,120,35,2,1,FALSE,2,male
194,FALSE,white,approve,1,124,54,1,0,FALSE,3366,1329,30,2,1,FALSE,2,male
195,TRUE,white,approve,1,135,70,1,0,FALSE,3366,155,25,2,2,FALSE,2,male
196,TRUE,white,approve,1,180,120,2,1,FALSE,8080,225,267,1,1,FALSE,3,male
197,TRUE,black,approve,1,144,75,2,2,FALSE,3357,160,36,1,1,FALSE,3,male
198,TRUE,white,approve,1,287,110,1,3,FALSE,9303,325,82,1,1,FALSE,2,male
199,FALSE,white,approve,1,164,110,1,0,TRUE,9167,204.4,434.6,2,1,FALSE,1,male
200,TRUE,white,approve,1,145,48,1,0,FALSE,3328,185,72,1,5,FALSE,2,male
201,FALSE,white,reject,1,176,38,3,0,FALSE,3150,195,54,2,1,FALSE,3,male
202,TRUE,white,approve,1,450,155,1,2,FALSE,12918,620,60,1,5,FALSE,2,male
203,TRUE,white,approve,1,120,178,1,0,FALSE,2500,129,8,2,1,FALSE,2,male
204,TRUE,black,approve,1,99,37,1,3,FALSE,3029,110,13.5,2,1,FALSE,1,male
205,TRUE,white,reject,1,165,64,1,0,TRUE,2609,190,56,2,5,FALSE,2,male
206,TRUE,white,approve,2,185,137,2,2,FALSE,7350,264,325,2,1,FALSE,3,male
207,TRUE,white,approve,1,130,51,1,2,FALSE,4225,280,277,1,1,FALSE,2,male
208,TRUE,white,approve,1,90,61,1,0,TRUE,2267,145,28,1,1,FALSE,1,male
209,FALSE,black,approve,1,116,71,1,0,TRUE,5833,145,33,3,1,FALSE,3,male
210,FALSE,white,approve,1,105,36,1,0,FALSE,3000,110,32,2,1,FALSE,1,female
211,TRUE,white,reject,1,147,59,1,1,FALSE,4945,164,22,1,6,TRUE,2,male
212,TRUE,white,approve,1,95,48,1,2,FALSE,3072,147,65,1,5,FALSE,2,male
213,TRUE,white,approve,1,116,44,1,4,FALSE,3640,129,123,2,1,FALSE,2,male
214,TRUE,white,approve,1,152,70,1,2,FALSE,5250,169,58,2,2,FALSE,2,male
215,FALSE,white,approve,1,135,64,1,0,FALSE,3485,192,188,2,6,FALSE,2,female
216,TRUE,black,approve,1,304,142,1,1,FALSE,7700,380,632.6,2,1,FALSE,2,male
217,FALSE,white,approve,1,138,67,1,0,FALSE,3643,154,20,2,1,FALSE,2,male
218,TRUE,white,approve,1,100,78,1,0,FALSE,5629,184,618,2,1,FALSE,1,male
219,FALSE,white,approve,1,110,41,1,0,FALSE,3644,140,60,1,2,FALSE,2,female
220,FALSE,white,reject,1,116,50,1,0,FALSE,4166,129,8650,2,3,TRUE,1,female
221,TRUE,white,approve,1,136,78,1,0,TRUE,4333,170,46,2,2,FALSE,2,male
222,FALSE,hispan,approve,1,44,22,1,0,FALSE,1833,55,18,2,1,FALSE,1,female
223,TRUE,white,reject,2,258,124,1,0,FALSE,5726,287,65,2,2,FALSE,2,male
224,TRUE,white,approve,1,90,47,1,0,FALSE,1750,129.9,1,2,1,TRUE,1,male
225,FALSE,white,approve,1,97,51,1,0,FALSE,4167,121,33,2,1,FALSE,1,male
226,FALSE,white,reject,1,126,58,1,0,FALSE,3200,140,29,2,5,FALSE,2,male
227,TRUE,white,approve,1,156,82,1,2,FALSE,5667,216,61.4,1,1,FALSE,2,male
228,FALSE,white,reject,1,200,109,1,0,FALSE,6500,295,64,2,3,FALSE,2,male
229,FALSE,white,approve,1,84,44,1,0,FALSE,3666,105,30,2,5,FALSE,1,female
230,TRUE,white,approve,1,185,97,1,0,FALSE,4260,250,65.6,1,3,FALSE,2,male
231,TRUE,white,approve,1,312,129,2,1,FALSE,10750,390,120,1,1,FALSE,3,male
232,TRUE,white,approve,1,190,138,1,0,FALSE,8500,180,1000000,2,1,FALSE,2,male
233,FALSE,white,approve,1,315,123,1,0,FALSE,6833,420,75,1,1,FALSE,2,male
234,TRUE,white,approve,1,75,33,1,2,FALSE,2731,150,81,2,1,FALSE,2,male
235,TRUE,white,approve,1,162,72,1,0,FALSE,4163,247,75.2,1,6,FALSE,2,male
236,TRUE,white,approve,1,125,85,1,3,TRUE,7100,343,239,1,2,FALSE,2,male
237,TRUE,white,approve,1,96,38,1,1,FALSE,3145,120,36.74,2,4,FALSE,1,male
238,FALSE,hispan,approve,1,80,37,1,0,FALSE,3068,130,60,1,1,FALSE,1,male
239,FALSE,white,reject,1,136,61,2,0,FALSE,4300,181,101,2,2,FALSE,3,female
240,FALSE,white,approve,1,108,51,1,0,FALSE,2356,120,18,2,2,FALSE,2,male
241,TRUE,white,approve,1,172,75,1,0,FALSE,3208,230,20.2,2,1,FALSE,2,male
242,FALSE,white,approve,1,82,37,1,0,FALSE,3117,103,35.21,2,1,FALSE,1,female
243,TRUE,white,approve,1,97,666,1,2,TRUE,1875,137,72,2,2,FALSE,2,male
244,FALSE,white,approve,1,138,62,1,0,FALSE,5177,153,22,2,1,FALSE,2,male
245,TRUE,white,approve,1,93,47,1,0,TRUE,3941,170,2,3,6,FALSE,2,male
246,FALSE,white,approve,1,81,30,4,0,FALSE,3500,90,8,2,2,FALSE,3,male
247,TRUE,white,approve,1,151,71,1,0,FALSE,2517,168,22,1,2,FALSE,2,male
248,TRUE,black,reject,1,95,57,1,3,FALSE,4755,155,82,2,2,TRUE,2,male
249,TRUE,white,approve,1,96,53,1,1,FALSE,2188,156,6,1,1,FALSE,2,male
250,TRUE,white,approve,1,100,36,1,0,FALSE,3000,234,98,1,4,FALSE,2,female
251,TRUE,hispan,approve,1,187,84,1,3,TRUE,5266,259,91,1,1,FALSE,2,male
252,TRUE,white,approve,1,124,73,1,0,FALSE,3685,155,35,2,1,FALSE,2,female
253,FALSE,white,approve,1,113,45,1,0,FALSE,3750,125,19,1,1,FALSE,2,male
254,FALSE,white,reject,1,176,102,1,0,FALSE,3750,208,40,1,1,FALSE,1,male
255,FALSE,white,approve,1,118,40,1,0,FALSE,4120,128,6,2,3,FALSE,1,female
256,TRUE,white,approve,1,115,52,1,0,FALSE,2860,130,30,2,1,FALSE,2,male
257,TRUE,white,reject,1,110,60,1,1,TRUE,1000,50,26,2,1,FALSE,2,male
258,TRUE,white,approve,1,187,85,1,2,FALSE,5008,285,116,2,1,FALSE,2,male
259,FALSE,white,approve,1,135,73,1,0,FALSE,3517,220,227,2,1,FALSE,1,male
260,FALSE,white,approve,1,109,64,1,0,FALSE,2916,157,76,2,1,FALSE,2,male
261,TRUE,white,reject,1,180,46,1,3,FALSE,3167,70,5,3,3,TRUE,1,male
262,TRUE,black,approve,1,130,66,1,3,TRUE,3333,162,80,2,1,FALSE,2,male
263,FALSE,white,approve,1,111,46,1,0,FALSE,3846,139,18.76,2,2,FALSE,2,female
264,TRUE,white,approve,1,60,29,1,1,TRUE,2395,160,122,2,2,FALSE,2,male
265,TRUE,black,reject,1,167,53,2,2,FALSE,1378,175,13,2,4,FALSE,3,female
266,FALSE,white,approve,1,187,122,1,0,FALSE,6792,260,100,1,1,FALSE,2,male
267,TRUE,white,approve,1,98,86,1,2,FALSE,4041,140,47,2,5,FALSE,2,male
268,TRUE,white,approve,1,187,99,1,3,TRUE,8000,260,16,1,1,FALSE,2,male
269,FALSE,white,approve,1,136,75,1,0,FALSE,4160,170,62,2,5,FALSE,2,male
270,TRUE,white,approve,1,182,85,1,1,FALSE,4153,315,26,1,1,FALSE,2,male
271,TRUE,black,reject,1,265,99,1,0,FALSE,6000,295,29,2,5,TRUE,2,male
272,TRUE,white,approve,1,264,107,1,0,FALSE,5834,293,34,2,1,FALSE,2,male
273,TRUE,white,approve,1,50,48,1,1,FALSE,3988,150,0,2,2,FALSE,2,male
274,FALSE,hispan,approve,1,87,38,2,0,FALSE,3248,97,22.1,1,1,FALSE,3,male
275,TRUE,black,approve,1,90,62,2,0,FALSE,3320,90,1.8,1,5,FALSE,3,male
276,TRUE,white,approve,1,176,76,1,0,FALSE,3667,191,26,2,1,FALSE,2,male
277,FALSE,hispan,approve,1,136,59,1,0,FALSE,2366,170,35,2,4,FALSE,2,male
278,TRUE,white,approve,1,99,76,1,2,FALSE,3333,179,12,1,1,FALSE,2,male
279,TRUE,white,approve,1,70,72,1,4,FALSE,2489,160,19,1,5,FALSE,2,female
280,TRUE,white,approve,1,104,55,1,0,FALSE,2500,115,26,2,6,FALSE,2,male
281,FALSE,white,approve,1,129,73,1,0,FALSE,6400,143,17.4,2,2,FALSE,1,male
282,TRUE,white,approve,1,124,50,1,1,FALSE,2419,155,32,2,1,FALSE,2,male
283,TRUE,white,approve,1,55,36,1,0,FALSE,3440,95,5,2,4,FALSE,1,male
284,FALSE,white,approve,1,135,31,1,0,FALSE,2680,175,45,2,1,FALSE,2,male
285,TRUE,white,approve,1,120,48,1,3,FALSE,3500,149.9,43,2,1,FALSE,2,
286,TRUE,white,approve,1,275,96,1,0,FALSE,7933,380,144,1,1,FALSE,2,male
287,FALSE,white,approve,1,210,103,1,0,FALSE,8566,339,206,1,1,FALSE,2,male
288,FALSE,white,approve,1,71,34,1,0,FALSE,2800,95,28,2,2,FALSE,2,female
289,TRUE,white,approve,1,160,45,1,1,FALSE,3500,210,106,1,1,FALSE,2,male
290,TRUE,white,approve,1,116,51,1,3,FALSE,2230,145,46,2,1,FALSE,2,male
